date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:50	95/95	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2021%20Jan%202025%2001:45:48%20GMT	https://www.whitehouse.gov/robots.txt		(from )
20:45:50	104250/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:49%20GMT	https://www.whitehouse.gov/presidential-actions/	www.whitehouse.gov/presidential-actions/index.html	(from )
20:45:52	82371/82371	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:50%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/the-organization-for-economic-co-operation-and-development-oecd-global-tax-deal-global-tax-deal/	www.whitehouse.gov/presidential-actions/2025/01/the-organization-for-economic-co-operation-and-development-oecd-global-tax-deal-global-tax-deal/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:53	105714/105714	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:50%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/organization-of-the-national-security-council-and-subcommittees/	www.whitehouse.gov/presidential-actions/2025/01/organization-of-the-national-security-council-and-subcommittees/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:53	98931/98931	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:50%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/	www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:55	82456/82456	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:52%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/	www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:55	87473/87473	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:53%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/temporary-withdrawal-of-all-areas-on-the-outer-continental-shelf-from-offshore-wind-leasing-and-review-of-the-federal-governments-leasing-and-permitting-practices-for-wind-projects/	www.whitehouse.gov/presidential-actions/2025/01/temporary-withdrawal-of-all-areas-on-the-outer-/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:58	95774/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:53%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/	www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:58	164294/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:50%20GMT	https://www.whitehouse.gov/presidential-actions/page/2/	www.whitehouse.gov/presidential-actions/page/2/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:59	82946/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:55%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/	www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:59	79872/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:56%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/promoting-beautiful-federal-civic-architecture/	www.whitehouse.gov/presidential-actions/2025/01/promoting-beautiful-federal-civic-architecture/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:45:59	1887/1887	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Jan%202025%2001:45:59%20GMT	https://www.whitehouse.gov/presidential-actions/page/2/e,location.href	www.whitehouse.gov/presidential-actions/page/2/e,location.0.delayed	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:01	85516/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:58%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/restoring-the-death-penalty-and-protecting-public-safety/	www.whitehouse.gov/presidential-actions/2025/01/restoring-the-death-penalty-and-protecting-public-safety/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:46:03	80981/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:45:59%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/putting-people-over-fish-stopping-radical-environmentalism-to-provide-water-to-southern-california/	www.whitehouse.gov/presidential-actions/2025/01/putting-people-over-fish-stopping-radical-environmentalism-to-provide-water-to-southern-california/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:46:05	104170/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:00%20GMT	https://www.whitehouse.gov/presidential-actions/page/3/	www.whitehouse.gov/presidential-actions/page/3/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:46:06	99558/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:00%20GMT	https://www.whitehouse.gov/presidential-actions/page/4/	www.whitehouse.gov/presidential-actions/page/4/index.html	(from https://www.whitehouse.gov/presidential-actions/)
20:46:07	86957/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:01%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/securing-our-borders/	www.whitehouse.gov/presidential-actions/2025/01/securing-our-borders/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:09	84041/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:03%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-meaning-and-value-of-american-citizenship/	www.whitehouse.gov/presidential-actions/2025/01/protecting-the-meaning-and-value-of-american-citizenship/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:11	84847/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:06%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/	www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:13	103524/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:07%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/	www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:13	83986/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:08%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/	www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:15	93919/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:09%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/america-first-trade-policy/	www.whitehouse.gov/presidential-actions/2025/01/america-first-trade-policy/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:17	81224/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:12%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/memorandum-to-resolve-the-backlog-of-security-clearances-for-executive-office-of-the-president-personnel/	www.whitehouse.gov/presidential-actions/2025/01/memorandum-to-resolve-the-backlog-of-security-clearances-for-executive-office-of-the-president-personnel/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:19	86566/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:14%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-emergency-at-the-southern-border-of-the-united-states/	www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-emergency-at-the-southern-border-of-the-united-states/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:19	90611/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:14%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/holding-former-government-officials-accountablefor-election-interference-and-improper-disclosure-of-sensitive-governmental-information/	www.whitehouse.gov/presidential-actions/2025/01/holding-former-government-officials-accountablefor-election-interference-and-improper-disclosure-of-sensitive-governmental-information/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:20	86326/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:15%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce/	www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce/index.html	(from https://www.whitehouse.gov/presidential-actions/page/2/)
20:46:22	81360/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:17%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/	www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/index.html	(from https://www.whitehouse.gov/presidential-actions/page/3/)
20:46:25	78591/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:19%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/	www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/index.html	(from https://www.whitehouse.gov/presidential-actions/page/3/)
20:46:25	83309/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:20%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/regulatory-freeze-pending-review/	www.whitehouse.gov/presidential-actions/2025/01/regulatory-freeze-pending-review/index.html	(from https://www.whitehouse.gov/presidential-actions/page/3/)
20:46:26	83997/-1	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2001:46:21%20GMT	https://www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/	www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/index.html	(from https://www.whitehouse.gov/presidential-actions/page/3/)
